city,year,min_mag,max_mag,frequency,population
aritao,2021,1.7,2.5,12,38617
aritao,2022,1.6,2.9,12,38753
aritao,2023,2.3,3.3,2,38860
aritao,2024,2.0,2.0,1,38938
aroroy,2020,2.1,4.6,4,94001
aroroy,2021,2.0,2.7,2,95520
aroroy,2022,2.1,3.0,4,97012
aroroy,2023,2.1,3.4,3,98477
aroroy,2024,1.6,2.1,3,99919
aroroy,2025,1.4,4.3,18,101330
arteche,2022,2.0,2.8,5,17087
arteche,2023,2.2,3.1,5,17246
arteche,2024,2.2,3.6,7,17406
arteche,2025,1.9,3.2,15,17568
asipulo,2025,1.5,2.0,6,15818
asturias,2022,2.3,2.3,1,51417
asturias,2023,1.8,1.9,2,51779
asturias,2025,1.7,2.3,2,52386
atimonan,2025,2.1,2.1,1,66158
atok,2021,2.4,2.4,1,20421
atok,2022,1.9,2.5,3,20489
atok,2025,1.6,2.0,3,20588
aurora,2020,1.8,2.7,10,36589
aurora,2021,2.3,3.1,4,36842
aurora,2022,1.9,4.0,16,37072
aurora,2023,1.7,1.7,4,37279
aurora,2024,2.5,3.4,4,37465
aurora,2025,1.5,3.4,14,37627
ayungon,2020,2.0,2.6,2,47021
ayungon,2021,2.0,2.6,3,47108
ayungon,2022,2.0,2.5,3,47175
ayungon,2023,1.7,2.5,3,47221
ayungon,2024,1.7,1.7,1,47248
ayungon,2025,1.9,2.6,3,47254
baao,2023,1.9,1.9,1,63411
baao,2025,2.6,2.6,1,64247
babatngon,2022,2.5,2.5,1,30475
bacacay,2022,2.2,2.2,1,72962
bacacay,2023,1.8,3.0,3,73366
bacarra,2021,1.8,1.8,1,32850
bacarra,2022,2.1,4.0,3,32908
bacarra,2023,1.9,3.9,5,32951
bacarra,2024,1.6,3.9,5,32979
baclayon,2025,1.5,2.4,2,23250
bacnotan,2020,1.7,3.0,3,43591
bacnotan,2021,1.5,2.7,12,43820
bacnotan,2022,1.5,2.5,8,44023
bacnotan,2023,1.8,2.7,13,44200
bacnotan,2024,1.8,3.7,12,44351
bacnotan,2025,1.3,3.5,13,44474
baco,2020,2.7,2.7,1,39215
baco,2021,1.5,2.0,3,39544
baco,2022,1.5,2.1,9,39846
baco,2023,1.5,2.9,16,40122
baco,2024,1.7,2.3,9,40373
baco,2025,1.5,2.3,5,40597
bacolod,2021,2.9,2.9,1,23936
bacolod,2023,2.7,2.7,1,24080
bacuag,2021,1.7,2.6,3,15897
bacuag,2022,2.5,2.5,1,16139
bacuag,2023,1.9,2.9,3,16382
bacuag,2024,1.4,3.3,5,16626
bacuag,2025,2.1,2.1,1,16870
badian,2022,2.0,2.0,1,40250
badiangan,2023,2.3,2.3,1,28059
badiangan,2024,2.1,2.1,1,28118
badiangan,2025,1.6,1.9,2,28152
badoc,2020,1.8,2.3,2,32218
badoc,2021,2.3,3.0,8,32299
badoc,2022,1.5,3.8,10,32365
badoc,2023,1.8,3.3,9,32418
badoc,2024,1.6,2.9,21,32456
badoc,2025,1.7,3.4,15,32480
bagabag,2020,2.0,2.0,1,36534
bagabag,2021,1.5,2.4,2,36662
bagabag,2022,1.5,2.1,6,36762
bagabag,2023,1.6,2.7,4,36836
bagabag,2024,1.8,1.9,2,36881
bagabag,2025,1.7,1.7,1,36900
bagac,2020,2.1,3.6,4,28246
bagac,2022,2.5,2.5,1,28576
bagac,2023,1.8,1.8,1,28689
bagac,2024,1.6,2.3,2,28758
bagac,2025,1.4,2.2,3,28811
bagamanoc,2020,2.5,2.5,1,11833
bagamanoc,2021,3.1,3.1,1,11873
bagamanoc,2022,2.5,3.6,4,11908
bagamanoc,2023,2.1,4.0,3,11937
bagamanoc,2024,1.3,6.1,12,11961
bagamanoc,2025,1.7,3.0,8,11979
baganga,2020,1.7,4.9,135,58909
baganga,2021,1.8,4.3,86,59318
baganga,2022,1.6,5.4,72,59683
baganga,2023,1.6,5.0,101,60004
baganga,2024,1.2,5.0,274,60281
baganga,2025,1.0,6.3,256,60514
baggao,2020,1.8,2.2,3,87470
baggao,2021,2.5,3.3,5,88264
baggao,2022,1.9,3.5,8,89005
baggao,2023,1.6,3.7,9,89694
baggao,2024,1.7,3.1,12,90331
baggao,2025,1.3,2.6,6,90913
baguio city,2020,2.8,2.8,1,363663
bagulin,2021,2.4,3.3,6,14389
bagulin,2022,1.5,2.2,3,14520
bagulin,2023,2.1,2.1,1,14644
bagulin,2024,1.9,1.9,1,14760
bagulin,2025,3.1,3.8,2,14868
bagumbayan,2020,1.5,2.5,19,68827
bagumbayan,2021,1.9,2.6,7,69062
bagumbayan,2022,1.8,2.5,4,69255
bagumbayan,2023,1.8,3.4,4,69405
bagumbayan,2024,1.2,2.8,12,69512
bagumbayan,2025,1.5,3.8,10,69575
bakun,2020,2.3,2.3,1,16820
bakun,2021,1.9,2.7,2,17087
bakun,2023,1.5,2.0,4,17591
balabagan,2020,2.5,2.5,1,28069
balabagan,2022,2.0,2.5,4,28595
balabagan,2023,2.2,2.3,2,28863
balabagan,2024,2.5,2.7,2,29136
balabagan,2025,1.5,2.5,5,29411
balamban,2025,1.8,1.9,2,120867
balangiga,2020,2.3,2.4,2,15360
balangiga,2021,2.0,2.3,2,15633
balangiga,2022,2.4,2.6,2,15910
balangiga,2023,1.6,2.8,6,16193
balangiga,2024,1.6,3.8,57,16480
balangiga,2025,1.6,4.1,16,16772
balangkayan,2020,2.2,2.8,3,11182
balangkayan,2021,2.0,2.0,1,11411
balangkayan,2022,2.6,3.0,3,11644
balangkayan,2023,1.6,2.7,3,11881
balangkayan,2024,2.2,2.3,6,12123
balangkayan,2025,1.4,2.7,8,12370
balaoan,2023,1.8,2.5,3,40559
balaoan,2024,2.9,2.9,1,40621
balaoan,2025,2.0,3.5,4,40657
balatan,2022,1.6,2.7,5,33304
balatan,2024,3.1,3.1,1,33849
balatan,2025,1.7,2.0,3,34096
balayan,2020,1.5,3.1,10,99574
balayan,2021,1.9,2.2,2,101412
balayan,2022,1.9,2.4,3,103263
balayan,2023,1.5,2.2,4,105127
balayan,2024,1.8,1.8,1,107009
balbalan,2020,2.0,2.0,1,12475
balbalan,2021,1.7,2.9,5,12519
balbalan,2022,1.9,1.9,1,12559
balbalan,2023,1.5,2.9,4,12594
balbalan,2024,1.4,3.6,4,12625
balbalan,2025,1.9,1.9,1,12652
baleno,2020,2.3,3.4,8,27325
baleno,2021,2.2,2.4,2,27537
baleno,2022,2.2,2.6,5,27736
baleno,2023,1.5,4.2,14,27921
baleno,2024,1.4,5.0,123,28094
baleno,2025,1.4,3.8,36,28253
baliangao,2022,2.8,2.8,1,17732
baliangao,2023,1.9,1.9,1,17787
baliguian,2020,2.4,2.8,3,23384
baliguian,2021,2.4,4.2,2,23521
baliguian,2022,1.6,4.0,26,23648
baliguian,2023,1.5,4.2,19,23768
baliguian,2024,1.6,3.8,12,23878
baliguian,2025,1.2,3.7,20,23980
balilihan,2020,1.6,2.9,3,18483
balilihan,2021,2.2,2.2,1,18580
balilihan,2023,1.6,2.0,2,18755
balilihan,2024,1.6,1.6,1,18832
balingasag,2020,2.8,3.4,2,69387
balingasag,2021,2.2,2.2,1,69675
balingasag,2022,2.5,2.9,5,69899
balingasag,2024,2.2,2.5,2,70158
balingasag,2025,1.4,1.4,1,70193
ballesteros,2020,2.5,2.5,1,36409
ballesteros,2022,2.2,2.3,2,37117
ballesteros,2025,1.8,1.8,1,38020
balud,2023,1.4,1.4,1,40535
balud,2025,2.3,2.3,1,40952
balungao,2023,1.5,1.5,1,38483
balungao,2024,2.6,2.6,1,39434
balungao,2025,1.3,2.4,2,40385
bamban,2020,1.9,3.4,5,76808
bamban,2021,1.6,3.7,5,78044
bamban,2022,1.6,3.2,7,79194
bamban,2024,1.6,1.6,1,81240
bamban,2025,1.9,3.6,4,82133
bambang,2022,1.6,1.6,2,61100
bambang,2023,1.7,1.8,2,62105
bambang,2024,1.9,2.1,3,63087
bambang,2025,1.8,1.8,1,64041
banate,2022,2.3,2.7,2,36169
banate,2024,1.5,3.4,3,37103
banate,2025,1.7,2.0,2,37534
banaue,2021,1.6,3.0,3,22321
banaue,2022,1.8,2.2,3,22372
banaue,2023,2.4,2.4,1,22415
banaue,2024,1.3,1.6,3,22448
banaue,2025,1.6,1.7,2,22473
banaybanay,2020,1.8,3.7,10,43004
banaybanay,2021,2.0,3.6,6,43289
banaybanay,2022,2.0,3.0,3,43543
banaybanay,2023,2.0,3.1,7,43763
banaybanay,2024,1.6,3.1,7,43952
banaybanay,2025,2.0,3.0,5,44108
banayoyo,2020,2.1,2.1,1,7899
banayoyo,2023,1.9,2.0,2,7947
banayoyo,2024,1.8,4.2,2,7956
banayoyo,2025,1.8,1.8,1,7961
banga,2020,1.6,2.4,4,40384
banga,2022,3.0,3.0,2,40656
banga,2024,1.4,3.0,12,40878
banga,2025,2.5,2.9,6,40969
bangar,2021,2.3,2.3,1,37328
bangar,2022,2.2,2.8,4,37483
bangar,2023,1.6,2.2,3,37615
bangar,2024,2.8,2.9,2,37725
bangar,2025,1.9,2.1,3,37812
bangui,2020,1.9,2.4,2,14954
bangui,2021,1.9,4.3,10,14993
bangui,2022,1.5,3.6,6,15024
bangui,2023,1.4,2.9,7,15049
bangui,2024,1.5,5.7,26,15067
bangui,2025,1.4,4.3,14,15079
bani,2020,1.4,4.6,6,54583
bani,2021,1.9,2.5,2,55395
bani,2022,1.4,2.0,2,56187
bani,2023,2.3,2.9,2,56960
bani,2024,2.3,2.9,4,57715
bani,2025,1.5,2.4,4,58448
banisilan,2020,2.7,3.2,4,47005
banisilan,2021,2.2,3.0,5,47504
banisilan,2022,1.9,2.3,4,47943
banisilan,2023,1.6,2.4,3,48322
banisilan,2024,1.4,3.8,7,48643
banisilan,2025,1.4,2.4,10,48903
bansalan,2020,1.9,3.8,41,64448
bansalan,2022,2.3,2.3,2,66153
bansalan,2023,2.2,2.3,3,67022
bansalan,2024,2.0,2.1,4,67904
bansalan,2025,1.5,1.5,1,68795
bansud,2020,1.9,2.6,4,43488
bansud,2021,1.7,3.0,8,43912
bansud,2022,1.5,2.5,9,44308
bansud,2023,1.3,5.1,59,44676
bansud,2024,1.6,3.8,7,45017
bansud,2025,1.1,4.7,15,45330
bantay,2022,1.7,2.7,7,36935
bantay,2023,2.1,2.1,1,37043
bantay,2024,2.1,2.1,1,37134
bantay,2025,1.7,2.6,6,37208
bantayan,2020,2.1,2.3,2,83037
bantayan,2022,2.1,2.2,2,84192
bantayan,2023,2.1,2.1,1,84672
bantayan,2025,2.0,2.2,2,85437
banton,2020,2.2,2.2,1,5600
banton,2021,1.6,2.9,5,5607
banton,2023,1.7,3.6,3,5618
banton,2024,2.1,2.1,1,5621
banton,2025,2.0,2.0,1,5622
baras,2020,1.6,4.3,20,116895
baras,2021,1.6,4.6,22,129303
baras,2022,2.0,4.6,20,142622
baras,2023,2.2,3.2,20,156852
baras,2024,1.7,4.3,32,172036
baras,2025,1.5,4.1,46,188090
barbaza,2020,2.2,4.7,9,23372
barbaza,2021,2.8,4.6,7,23469
barbaza,2023,1.6,3.1,3,23622
barbaza,2024,2.8,2.8,1,23679
barbaza,2025,1.7,2.8,7,23723
barcelona,2020,2.3,3.1,2,21646
barcelona,2022,2.1,3.1,4,21809
barcelona,2023,2.5,2.5,1,21867
barcelona,2024,1.9,3.5,4,21911
barcelona,2025,1.9,4.0,3,21940
barili,2021,1.8,1.8,1,83947
barili,2022,2.5,2.5,1,85522
barili,2023,2.3,2.6,2,87060
barili,2025,2.1,3.2,2,90028
barira,2021,2.7,2.8,2,33803
barira,2022,2.8,2.9,2,34424
barira,2023,2.0,2.0,1,35039
barira,2025,1.6,2.5,3,36251
barlig,2020,2.8,2.8,1,4288
barlig,2023,2.6,2.6,1,3985
barlig,2024,1.5,1.7,2,3887
barobo,2020,2.2,2.2,1,54910
barobo,2021,1.8,2.7,3,55911
barobo,2022,1.9,3.8,8,56896
barobo,2023,1.3,3.1,13,57864
barobo,2024,1.4,3.6,31,58816
barobo,2025,1.5,2.6,13,59749
barotac nuevo,2020,2.8,2.8,1,55644
barotac viejo,2020,2.3,2.7,2,49632
baroy,2025,1.8,1.8,1,24578
barugo,2022,2.0,2.0,1,35956
basay,2020,1.5,3.5,39,27585
basay,2021,1.7,3.6,29,27761
basay,2022,1.5,4.5,51,27925
basay,2023,1.5,4.8,85,28079
basay,2024,1.3,4.8,63,28223
basay,2025,1.5,4.2,40,28356
basey,2020,2.5,5.1,5,59801
basey,2022,2.1,2.4,2,61399
basey,2023,2.2,3.9,4,62163
basey,2024,2.0,2.3,2,62906
basey,2025,1.4,2.6,5,63625
basista,2022,2.2,2.2,1,36167
basud,2020,2.9,2.9,1,43486
basud,2022,2.9,2.9,1,44300
basud,2023,1.5,1.5,1,44667
basud,2024,1.4,1.8,2,45007
bato,2020,2.1,4.1,6,55199
bato,2021,2.5,2.5,6,55742
bato,2022,1.7,2.7,12,56257
bato,2023,2.1,3.1,9,56745
bato,2024,2.1,2.2,6,57207
bato,2025,1.6,2.7,15,57640
batuan,2020,1.7,3.5,34,16080
batuan,2021,2.3,3.6,18,16263
batuan,2022,1.8,4.0,70,16439
batuan,2023,1.3,6.0,414,16609
batuan,2024,1.5,4.0,44,16773
batuan,2025,1.5,3.1,32,16929
bauan,2020,1.5,3.2,8,101376
bauan,2023,2.1,2.1,1,107775
bauan,2024,1.8,1.8,1,109959
bauang,2020,2.0,3.1,5,78902
bauang,2021,2.0,3.1,8,79556
bauang,2022,1.7,3.7,8,80167
bauang,2023,1.6,2.7,5,80733
bauang,2024,2.9,3.5,3,81256
bauang,2025,1.8,2.2,4,81734
bauko,2022,1.5,1.5,1,31938
bauko,2023,1.6,2.1,2,32042
bauko,2024,2.1,2.1,1,32141
baungon,2020,2.9,2.9,1,35475
baungon,2022,2.4,2.4,1,35757
baungon,2023,1.8,1.8,1,35858
baungon,2024,2.7,2.7,1,35934
baungon,2025,1.4,2.6,6,35983
bautista,2022,2.7,2.7,1,34821
bay,2024,1.3,1.8,2,70547
bay,2025,1.3,1.3,1,71214
bayabas,2020,1.5,5.8,405,8378
bayabas,2021,1.5,5.2,191,8406
bayabas,2022,1.6,5.6,202,8428
bayabas,2023,1.4,4.8,169,8445
bayabas,2024,1.4,4.9,271,8457
bayabas,2025,1.4,5.1,151,8463
bayambang,2022,2.2,2.2,1,125827
bayang,2025,2.7,2.7,1,28620
bayog,2020,2.7,2.7,1,36210
bayog,2022,1.5,2.0,3,37245
bayog,2023,1.6,2.0,4,37756
bayog,2024,1.3,1.6,3,38262
bayog,2025,1.3,2.5,4,38763
belison,2020,2.8,3.5,2,14119
belison,2023,2.5,3.4,2,14382
belison,2024,2.3,2.3,1,14455
belison,2025,1.7,2.2,2,14520
benito soliven,2023,2.0,2.0,1,32618
besao,2021,1.5,1.5,1,6202
besao,2022,1.6,2.8,10,6067
besao,2023,1.5,2.2,3,5934
besao,2025,1.2,2.6,2,5672
bien unido,2024,1.7,1.7,1,28736
bilar,2020,2.1,2.1,1,17963
bilar,2022,3.4,3.4,1,18089
bilar,2023,1.9,1.9,1,18147
biliran,2020,2.3,3.5,9,17207
biliran,2021,2.0,5.0,11,17248
biliran,2022,1.8,2.7,5,17280
biliran,2023,2.9,3.1,2,17302
biliran,2024,1.8,2.5,5,17316
biliran,2025,1.7,2.9,10,17321
binalbagan,2023,1.9,1.9,1,68829
binalbagan,2025,1.7,1.7,1,68935
binalonan,2024,1.8,1.8,1,56277
binangonan,2021,2.1,2.1,1,309470
bingawan,2020,3.1,3.1,1,16844
bingawan,2021,2.2,2.2,1,17183
binidayan,2025,2.2,2.2,1,27111
binmaley,2023,1.7,3.4,4,88414
binmaley,2024,1.5,1.5,1,88887
biri,2020,1.5,3.3,21,12365
biri,2021,2.1,3.3,8,12467
biri,2022,2.3,3.8,10,12561
biri,2023,1.7,3.5,12,12650
biri,2024,1.6,4.0,27,12731
biri,2025,1.4,3.4,24,12806
bobon,2020,1.4,3.0,4,26139
bobon,2022,1.7,3.0,3,27094
bobon,2023,2.1,2.9,2,27561
bobon,2024,1.7,2.5,5,28022
bobon,2025,1.4,3.4,5,28475
bokod,2021,1.7,3.4,9,14657
bokod,2022,1.3,4.1,36,14770
bokod,2023,1.2,3.1,21,14871
bokod,2024,1.6,3.7,19,14961
bokod,2025,1.4,2.3,7,15039
bolinao,2020,1.8,3.6,43,89195
bolinao,2021,1.6,3.6,58,90549
bolinao,2022,1.9,4.1,46,91871
bolinao,2023,1.5,3.4,51,93162
bolinao,2024,1.6,4.1,48,94426
bolinao,2025,1.3,3.6,50,95655
boliney,2020,2.0,3.1,3,3598
boliney,2021,2.0,2.4,6,3600
boliney,2022,1.4,2.8,15,3601
boliney,2023,1.5,2.2,5,3600
boliney,2024,1.8,2.9,3,3599
boliney,2025,1.4,2.0,5,3596
boljoon,2020,1.6,2.0,3,17619
boljoon,2022,1.5,2.4,6,18055
boljoon,2023,1.9,2.4,2,18255
boljoon,2024,1.8,2.1,3,18444
boljoon,2025,2.0,2.0,1,18620
bombon,2020,2.3,2.3,1,17362
bombon,2024,2.1,2.7,2,17893
bongabon,2021,1.5,2.5,2,70156
bongabon,2022,1.7,2.3,3,71218
bongabon,2023,2.6,2.6,1,72296
bongabon,2024,1.5,2.3,6,73391
bongabon,2025,1.7,1.8,3,74498
bongabong,2021,1.8,4.7,12,78307
bongabong,2022,1.8,2.3,5,79202
bongabong,2023,1.6,2.4,3,80051
bongabong,2024,1.6,2.6,2,80858
bongabong,2025,1.3,2.1,6,81616
bonifacio,2024,1.8,4.2,3,33441
bonifacio,2025,1.9,2.0,2,33473
bontoc,2021,1.5,2.7,5,29872
bontoc,2022,1.6,2.2,5,30041
bontoc,2023,1.6,2.0,3,30212
bontoc,2025,1.6,3.0,5,30559
borbon,2020,2.6,2.6,1,39505
borbon,2024,2.0,2.0,1,42409
borbon,2025,1.8,3.7,4,43088
boston,2020,1.6,2.3,8,14374
boston,2021,1.8,2.9,9,14514
boston,2022,2.2,3.1,10,14643
boston,2023,1.5,2.9,30,14763
boston,2024,1.3,4.6,57,14873
boston,2025,1.2,3.2,62,14973
botolan,2020,1.8,2.6,5,60687
botolan,2021,1.7,2.4,5,61163
botolan,2022,1.5,2.9,20,61596
botolan,2023,1.4,2.4,8,61986
botolan,2024,1.3,3.3,17,62333
botolan,2025,1.3,5.1,34,62637
braulio e. dujali,2022,2.2,2.2,1,31191
braulio e. dujali,2024,2.2,2.2,1,31389
braulio e. dujali,2025,1.9,2.0,2,31467
buadiposo-buntong,2020,2.3,2.3,1,16333
buadiposo-buntong,2022,2.5,2.5,1,16418
buadiposo-buntong,2023,2.3,2.4,2,16461
buadiposo-buntong,2025,1.6,1.9,2,16550
bubong,2020,2.2,2.7,5,25040
bubong,2021,2.7,2.7,1,25630
bubong,2022,1.9,2.5,2,26235
bubong,2025,1.9,2.1,2,28136
bucay,2020,1.7,1.7,1,17236
bucay,2021,1.8,3.1,6,17244
bucay,2022,1.4,4.4,92,17247
bucay,2023,1.6,3.1,21,17245
bucay,2024,1.8,2.8,13,17238
bucay,2025,1.0,3.9,10,17226
bucloc,2020,2.6,2.7,2,2624
bucloc,2021,2.8,2.8,1,2648
